rate	count	positive	flag	prob	rate_lower	rate_upper	scoring_rate	scoring_delta_rate	ntile	bar_size
0.029887920298879204	2409	72.0	-1	6.008929937302369e-51	0.016390334985324974	0.043385505612433435	0.029887920298879204	-0.08276625081892211	10.0	0.41516587677725114
0.03815753611338239	3669	140.0	-1	9.278296775844175e-60	0.025852469866842517	0.05046260235992227	0.03815753611338239	-0.07449663500441892	9.0	0.6323136579060749
0.048152295632698766	2679	129.0	-1	4.817841179805618e-32	0.03205986848450859	0.06424472278088894	0.048152295632698766	-0.06450187548510254	8.0	0.46169754416199904
0.057251184834123225	5275	302.0	-1	4.230458669606366e-44	0.04480619111091841	0.06969617855732804	0.057251184834123225	-0.05540298628367808	7.0	0.909090909090909
0.08712871287128712	1515	132.0	0	0.0006802355593278073	0.058938731870986846	0.1153186938715874	0.11265417111780131	0.0	6.0	0.2610943558810857
0.10173323285606632	1327	135.0	0	0.11110730703561371	0.06944722824800055	0.13401923746413208	0.11265417111780131	0.0	5.0	0.22869452822059452
0.16666666666666666	852	142.0	1	9.792023547561257e-07	0.11699260968470301	0.2163407236486303	0.16666666666666666	0.05401249554886535	4.0	0.14683326152520462
0.3244485294117647	1088	353.0	1	0.0	0.26922764525653464	0.3796694135669948	0.3244485294117647	0.21179435829396343	3.0	0.187505385609651
0.41160471441523117	1103	454.0	1	0.0	0.35395426689351567	0.46925516193694666	0.41160471441523117	0.29895054329742987	2.0	0.19009047824213698
0.6809453471196455	677	461.0	1	0.0	0.6112490007582603	0.7506416934810307	0.6809453471196455	0.5682911760018442	1.0	0.11667384747953466
