rate	count	positive	flag	prob	rate_lower	rate_upper	scoring_rate	scoring_delta_rate	ntile	bar_size
0.0011152416356877324	2690	3.0	-1	1.5287053916e-314	0.0	0.0036189383381233006	0.0011152416356877324	-0.23967099915055304	14.0	0.909090909090909
0.009098428453267164	2418	22.0	-1	1.272341104532588e-247	0.0015859026057031093	0.01661095430083122	0.009098428453267164	-0.23168781233297361	13.0	0.8171679621493747
0.02512562814070352	597	15.0	-1	3.7930218499425963e-50	0.00020486703896592864	0.050046389242441106	0.02512562814070352	-0.21566061264553726	12.0	0.2017573504562352
0.0364963503649635	548	20.0	-1	5.710517620695281e-40	0.005330656659387922	0.06766204407053908	0.0364963503649635	-0.20428989042127726	11.0	0.18519770192632642
0.06943498978897208	1469	102.0	-1	9.867350222896581e-68	0.04363216067047529	0.09523781890746888	0.06943498978897208	-0.1713512509972687	10.0	0.49645150388644804
0.12696850393700787	1016	129.0	-1	7.60825789310887e-20	0.08633055503538478	0.16760645283863096	0.12696850393700787	-0.11381773684923291	9.0	0.3433592429874957
0.18181818181818182	836	152.0	-1	2.4096828551813857e-05	0.1299195265108838	0.23371683712547986	0.18181818181818182	-0.058968058968058956	8.0	0.28252788104089216
0.234375	704	165.0	0	0.3642713738487866	0.1722604929780707	0.29648950702192933	0.24078624078624078	0.0	7.0	0.23791821561338286
0.3135802469135803	1215	381.0	1	3.417485627821293e-09	0.26179610633195954	0.365364387495201	0.3135802469135803	0.0727940061273395	6.0	0.41061169313957413
0.40886392009987516	1602	655.0	1	0.0	0.3610760638487612	0.45665177635098914	0.40886392009987516	0.16807767931363438	5.0	0.5413991213247717
0.5497435897435897	975	536.0	1	0.0	0.4877533368368544	0.611733842650325	0.5497435897435897	0.30895734895734894	4.0	0.3295032105441027
0.6696562032884903	669	448.0	1	0.0	0.5989086143240008	0.7404037922529798	0.6696562032884903	0.4288699625022495	3.0	0.2260898952348766
0.7673888255416191	877	673.0	1	0.0	0.7118829570297835	0.8228946940534547	0.7673888255416191	0.5266025847553784	2.0	0.29638391348428517
0.9322289156626506	664	619.0	1	0.0	0.894278622152444	0.9701792091728573	0.9322289156626506	0.6914426748764099	1.0	0.2244001351808043
