rate	count	positive	flag	prob	rate_lower	rate_upper	scoring_rate	scoring_delta_rate	ntile	bar_size
0.010003751406777542	7997	80.0	-1	0.0	0.005674125747938861	0.014333377065616222	0.010003751406777542	-0.42333856457720764	12.0	0.8923530133791578
0.026832368309560796	7081	190.0	-1	0.0	0.01936114511596118	0.03430359150316041	0.026832368309560796	-0.4065099476744244	11.0	0.7901402635660644
0.06187010078387458	7144	442.0	-1	0.0	0.050780475942038175	0.07295972562571099	0.06187010078387458	-0.37147221520011064	10.0	0.7971701797649999
0.11215226939970717	3415	383.0	-1	0.0	0.09114383929154792	0.1331606995078664	0.11215226939970717	-0.321190046584278	9.0	0.3810660923708671
0.17455790074158586	1753	306.0	-1	9.688701205951253e-118	0.13928527572387436	0.20983052575929736	0.17455790074158586	-0.25878441524239937	8.0	0.1956102078846647
0.2593210907067334	1797	466.0	-1	5.0563422151560015e-53	0.21909798992007395	0.2995441914933929	0.2593210907067334	-0.17402122527725178	7.0	0.2005199906267784
0.43636363636363634	1870	816.0	0	0.38669965527384187	0.3917447576865748	0.4809825150406979	0.4333423159839852	0.0	6.0	0.2086657665398306
0.6850828729281768	1629	1116.0	1	0.0	0.6403089827015563	0.7298567631547973	0.6850828729281768	0.2517405569441916	5.0	0.18177354742961713
0.8657569025706126	3151	2728.0	1	0.0	0.8421284413983019	0.8893853637429232	0.8657569025706126	0.43241458658662735	4.0	0.35160739591818513
0.9649014778325123	1624	1567.0	1	0.0	0.9471347043445538	0.9826682513204709	0.9649014778325123	0.5315591618485271	3.0	0.18121561757255877
0.9985270651773659	8147	8135.0	1	0.0	0.996874005608216	1.0	0.9985270651773659	0.5651847491933807	2.0	0.9090909090909091
0.9905422446406053	6344	6284.0	1	0.0	0.9858143844140523	0.9952701048671582	0.9905422446406053	0.55719992865662	1.0	0.7079014026356606
